Temperature,Visibility,Weather Condition
46,Day,Clear
46,Dusk,Clear
25,Dark,Clear
52,Dusk,Clear
33,Dark,Snow
40,Day,Cloudy
33,Dark,Cloudy
37,Dark,Clear
28,Dark,Cloudy
42,Dark,Rain
43,Dark,Cloudy
45,Dark,Clear
28,Dark,Clear
50,Day,Clear
45,Dawn,Clear
40,Dark,Clear
47,Dark,Rain
52,Dark,Clear
47,Dark,Clear
41,Dark,Clear
45,Dark,Clear
35,Dark,Cloudy
58,Day,Fog
43,Dusk,Clear
54,Day,Clear
53,Dark,Clear
52,Dark,Clear
20,Dusk,Cloudy
35,Day,Clear
45,Day,Cloudy
25,Dark,Clear
40,Dark,Clear
47,Dark,Cloudy
55,Day,Cloudy
55,Day,Cloudy
76,Day,Clear
60,Dark,Clear
58,Dark,Clear
50,Dark,Cloudy
50,Dark,Rain
46,Dark,Rain
65,Day,Clear
65,Dark,Clear
50,Dark,Clear
60,Dark,Cloudy
50,Dark,Clear
52,Dawn,Clear
50,Day,Clear
55,Dawn,Clear
50,Dark,Clear
60,Dark,Clear
60,Dark,Clear
50,Day,Cloudy
68,Day,Clear
75,Day,Cloudy
67,Dark,Rain
35,Dark,Clear
35,Dark,Clear
52,Day,Cloudy
33,Dark,Clear
37,Dark,Cloudy
31,Dark,Cloudy
45,Dark,Rain
61,Day,Clear
50,Dark,Clear
58,Day,Cloudy
65,Dark,Clear
40,Day,Cloudy
50,Day,Clear
30,Dark,Cloudy
37,Dark,Rain
27,Dark,Clear
28,Dark,Clear
34,Dark,Snow
25,Dark,Clear
50,Dark,Clear
44,Dark,Cloudy
40,Day,Clear
30,Dark,Clear
45,Dark,Clear
36,Dark,Clear
52,Day,Cloudy
58,Dark,Clear
55,Dark,Clear
60,Day,Clear
38,Day,Fog
33,Dark,Clear
45,Dark,Rain
60,Day,Cloudy
75,Day,Clear
70,Dark,Cloudy
65,Day,Clear
65,Day,Cloudy
65,Dark,Clear
75,Day,Clear
64,Day,Rain
65,Day,Cloudy
55,Day,Clear
29,Day,Clear
45,Day,Clear
35,Dusk,Cloudy
50,Day,Clear
45,Dark,Clear
45,Dark,Clear
40,Day,Rain
50,Day,Cloudy
42,Dark,Rain
55,Day,Clear
35,Dark,Fog
58,Day,Cloudy
60,Dusk,Clear
64,Dusk,Clear
80,Dusk,Cloudy
70,Day,Cloudy
50,Day,Clear
70,Day,Cloudy
50,Day,Clear
60,Dark,Clear
70,Day,Clear
74,Day,Clear
70,Day,Clear
65,Day,Cloudy
50,Dark,Fog
45,Dark,Clear
60,Day,Clear
60,Dark,Rain
70,Day,Clear
72,Day,Clear
70,Dark,Clear
60,Dark,Clear
58,Day,Cloudy
35,Day,Clear
29,Dark,Rain
40,Dusk,Clear
59,Dark,Clear
37,Dark,Clear
42,Dark,Clear
48,Dark,Rain
35,Day,Clear
75,Day,Cloudy
75,Day,Clear
55,Dark,Clear
70,Day,Clear
70,Dusk,Clear
50,Day,Clear
47,Dark,Cloudy
62,Day,Cloudy
35,Dark,Snow
43,Day,Clear
45,Dark,Cloudy
47,Dark,Clear
38,Dark,Clear
39,Dark,Cloudy
65,Day,Clear
50,Day,Cloudy
65,Dark,Cloudy
58,Day,Cloudy
43,Day,Clear
54,Dark,Rain
32,Dark,Clear
38,Day,Cloudy
38,Dark,Clear
51,Day,Clear
33,Dark,Cloudy
40,Dark,Clear
34,Dark,Clear
63,Day,Cloudy
50,Dawn,Clear
45,Day,Clear
60,Day,Clear
60,Dark,Clear
65,Dusk,Clear
70,Day,Clear
40,Dark,Clear
32,Dark,Snow
55,Day,Clear
30,Dark,Clear
30,Day,Clear
65,Dark,Clear
60,Day,Clear
50,Day,Clear
50,Day,Clear
50,Dusk,Clear
39,Dawn,Clear
64,Day,Clear
60,Day,Clear
70,Dark,Clear
70,Day,Cloudy
74,Day,Clear
70,Dark,Clear
73,Dark,Clear
65,Dark,Clear
54,Day,Clear
50,Dark,Clear
50,Dark,Fog
45,Dark,Clear
50,Dawn,Clear
55,Dark,Rain
48,Dusk,Clear
50,Day,Clear
50,Dark,Cloudy
55,Dark,Clear
46,Day,Cloudy
68,Day,Clear
65,Day,Clear
48,Day,Clear
50,Dusk,Cloudy
40,Dark,Clear
40,Dark,Clear
56,Dark,Clear
50,Day,Clear
41,Dawn,Clear
50,Dark,Rain
59,Dark,Clear
65,Day,Cloudy
38,Day,Clear
68,Day,Clear
37,Dark,Clear
53,Dark,Clear
75,Day,Clear
65,Day,Clear
65,Dark,Clear
72,Dark,Clear
50,Dark,Clear
50,Dark,Clear
50,Day,Clear
32,Day,Cloudy
50,Day,Clear
45,Dark,Clear
45,Dark,Rain
65,Day,Cloudy
58,Dusk,Clear
32,Day,Clear
55,Day,Clear
55,Dark,Clear
48,Dark,Cloudy
72,Day,Clear
60,Day,Clear
30,Dark,Clear
35,Dark,Clear
55,Day,Clear
40,Dark,Clear
30,Dark,Clear
45,Day,Clear
35,Day,Cloudy
63,Day,Rain
56,Day,Clear
35,Dark,Cloudy
51,Dark,Clear
50,Day,Clear
52,Day,Clear
60,Day,Cloudy
55,Dark,Clear
35,Day,Clear
34,Dark,Clear
27,Dark,Snow
46,Dark,Clear
39,Day,Cloudy
50,Dark,Cloudy
42,Dark,Cloudy
30,Dusk,Cloudy
30,Dark,Cloudy
30,Dark,Clear
46,Day,Cloudy
52,Day,Clear
60,Day,Rain
68,Dark,Cloudy
42,Dark,Clear
48,Dark,Rain
45,Day,Rain
59,Day,Cloudy
35,Day,Clear
40,Day,Cloudy
38,Day,Clear
25,Day,Cloudy
30,Dark,Snow
50,Dark,Clear
60,Dark,Cloudy
35,Dark,Clear
30,Dusk,Clear
42,Day,Rain
50,Day,Clear
34,Day,Cloudy
75,Day,Clear
40,Dark,Clear
65,Day,Clear
79,Dusk,Clear
50,Dark,Clear
50,Day,Clear
45,Dark,Clear
45,Day,Clear
65,Day,Cloudy
55,Dark,Clear
37,Dark,Clear
70,Day,Clear
60,Dark,Cloudy
70,Day,Clear
50,Day,Clear
70,Day,Clear
62,Dark,Clear
65,Day,Cloudy
40,Dark,Clear
50,Dark,Clear
55,Day,Clear
50,Day,Clear
65,Day,Rain
50,Dark,Clear
60,Dark,Rain
75,Day,Clear
45,Dark,Clear
55,Dark,Clear
60,Day,Clear
54,Dark,Cloudy
74,Day,Clear
50,Dark,Fog
70,Dark,Cloudy
32,Dawn,Clear
35,Dark,Rain
70,Day,Clear
35,Dark,Snow
50,Day,Clear
43,Dark,Clear
40,Day,Clear
54,Dawn,Clear
40,Dusk,Clear
25,Day,Rain
29,Dark,Snow
50,Day,Clear
45,Dark,Clear
35,Day,Snow
38,Dusk,Clear
40,Dark,Cloudy
50,Day,Cloudy
52,Dark,Clear
47,Dark,Clear
40,Dawn,Clear
42,Day,Rain
45,Dark,Rain
50,Dark,Clear
40,Dark,Clear
55,Dark,Clear
55,Dark,Clear
58,Dark,Clear
30,Dusk,Cloudy
28,Dark,Clear
59,Day,Clear
50,Dark,Clear
40,Day,Rain
60,Dark,Cloudy
70,Day,Clear
60,Dark,Cloudy
54,Day,Clear
50,Dark,Cloudy
45,Dark,Rain
50,Dark,Cloudy
75,Day,Clear
60,Day,Clear
65,Day,Clear
50,Day,Clear
65,Day,Clear
50,Dark,Clear
70,Day,Clear
50,Dark,Clear
52,Dark,Clear
65,Day,Cloudy
50,Day,Clear
50,Dark,Clear
60,Dark,Cloudy
62,Day,Clear
60,Day,Clear
65,Dark,Fog
34,Dark,Cloudy
42,Day,Cloudy
50,Day,Clear
40,Dark,Clear
58,Dusk,Clear
70,Dark,Clear
64,Dawn,Cloudy
70,Day,Clear
65,Dark,Clear
65,Day,Clear
60,Day,Clear
72,Day,Clear
60,Dusk,Clear
76,Day,Clear
60,Dark,Clear
80,Day,Clear
69,Dusk,Clear
70,Dark,Cloudy
60,Day,Cloudy
60,Day,Cloudy
55,Dark,Clear
60,Dark,Clear
55,Dark,Rain
50,Dark,Fog
45,Day,Clear
70,Day,Clear
65,Dark,Clear
70,Day,Cloudy
50,Day,Clear
60,Day,Clear
31,Dark,Clear
55,Dark,Clear
60,Dark,Clear
75,Dusk,Clear
65,Dark,Clear
85,Day,Clear
75,Day,Clear
40,Day,Clear
73,Day,Clear
80,Day,Clear
65,Day,Clear
50,Dark,Clear
75,Day,Clear
80,Day,Clear
75,Day,Clear
67,Dark,Clear
70,Dark,Clear
70,Dark,Cloudy
52,Dark,Clear
80,Day,Cloudy
80,Dark,Cloudy
80,Day,Cloudy
75,Day,Clear
50,Dark,Cloudy
70,Day,Clear
45,Dark,Clear
45,Dark,Clear
60,Dark,Clear
56,Dark,Clear
75,Dark,Clear
50,Dark,Rain
70,Dusk,Clear
55,Dark,Rain
70,Dusk,Clear
60,Dusk,Clear
72,Dark,Clear
50,Dark,Fog
60,Day,Clear
45,Day,Clear
72,Day,Clear
50,Dark,Clear
71,Day,Clear
60,Dark,Clear
45,Dark,Cloudy
55,Day,Cloudy
65,Day,Clear
50,Dark,Clear
70,Dark,Clear
80,Day,Clear
50,Dark,Cloudy
65,Day,Cloudy
30,Day,Cloudy
70,Day,Clear
54,Dark,Clear
50,Dark,Cloudy
72,Day,Clear
35,Dark,Cloudy
28,Dusk,Snow
30,Dark,Cloudy
31,Day,Cloudy
35,Day,Cloudy
31,Dark,Snow
35,Dark,Cloudy
50,Day,Clear
35,Dark,Cloudy
35,Dark,Snow
50,Dark,Clear
42,Dark,Clear
60,Day,Clear
54,Day,Clear
65,Day,Clear
36,Day,Cloudy
40,Dark,Rain
35,Dawn,Cloudy
40,Dark,Cloudy
39,Dark,Clear
39,Dark,Clear
35,Dark,Clear
30,Dark,Cloudy
30,Dark,Snow
50,Dark,Clear
60,Dark,Cloudy
52,Day,Rain
69,Dusk,Clear
75,Day,Clear
70,Dark,Clear
70,Day,Rain
78,Day,Clear
75,Day,Clear
68,Dark,Clear
65,Day,Clear
35,Day,Snow
18,Dark,Cloudy
45,Dark,Clear
70,Dark,Clear
58,Day,Clear
40,Day,Clear
50,Dark,Clear
60,Day,Clear
34,Dark,Cloudy
35,Day,Clear
30,Day,Clear
40,Day,Rain
35,Day,Cloudy
50,Dusk,Clear
50,Day,Clear
30,Dark,Clear
40,Day,Clear
47,Dark,Clear
51,Dark,Clear
14,Dark,Cloudy
37,Day,Cloudy
33,Day,Clear
30,Day,Snow
10,Dark,Clear
40,Dark,Cloudy
25,Day,NA
30,Dark,Snow
35,Dark,Clear
52,Day,Clear
34,Dark,Clear
34,Day,Cloudy
34,Dark,Cloudy
35,Dark,Clear
15,Dark,Cloudy
-20,Dark,Cloudy
0,Dark,Cloudy
-10,Dark,Clear
45,Dark,Clear
30,Dark,Clear
43,Day,Clear
66,Day,Cloudy
28,Day,Cloudy
40,Day,Clear
30,Dark,Clear
50,Day,Clear
55,Dark,Cloudy
55,Day,Clear
38,Dark,Cloudy
42,Dark,Cloudy
60,Day,Clear
50,Day,Clear
20,Dusk,Clear
45,Day,Clear
40,Dark,Clear
71,Day,Clear
48,Day,Clear
36,Dark,Clear
51,Day,Clear
35,Dark,Snow
30,Dark,Clear
35,Day,Clear
50,Dark,Clear
50,Dark,Clear
37,Dark,Clear
40,Dark,Clear
30,Dark,Clear
40,Dark,Clear
50,Dark,Clear
50,Dark,Cloudy
45,Dark,Cloudy
55,Dusk,Cloudy
58,Day,Rain
70,Dark,Clear
22,Dark,Clear
15,Day,Cloudy
33,Dusk,Cloudy
30,Day,Cloudy
20,Day,Cloudy
50,Dawn,Clear
45,Dusk,Cloudy
21,Day,Clear
32,Day,Cloudy
35,Day,Cloudy
5,Day,Clear
34,Day,Cloudy
47,Day,Cloudy
-7,Dusk,Snow
10,Day,Clear
15,Day,Cloudy
20,Dark,Clear
31,Day,Snow
45,Dawn,Clear
41,Dark,Clear
20,Dark,Cloudy
20,Dark,Clear
20,Dark,Clear
30,Dusk,Cloudy
40,Day,Clear
60,Dark,Rain
50,Day,Clear
74,Dawn,Rain
50,Day,Clear
45,Dark,Clear
55,Day,Clear
56,Dawn,Clear
35,Day,Rain
35,Day,Cloudy
40,Day,Clear
30,Dark,Clear
39,Dark,Rain
36,Day,Fog
35,Day,Clear
32,Day,Clear
40,Dusk,Cloudy
50,Day,Cloudy
25,Dark,Cloudy
37,Dark,Cloudy
38,Dusk,Cloudy
35,Dark,Clear
35,Dark,Cloudy
35,Day,Clear
50,Day,Clear
23,Dawn,Clear
40,Dark,Rain
60,Day,Cloudy
50,Dark,Clear
65,Dark,Clear
20,Day,Cloudy
70,Day,Clear
55,Dark,Cloudy
68,Day,Clear
49,Day,Clear
51,Dawn,Clear
65,Day,Clear
63,Dark,Cloudy
60,Dark,Clear
60,Day,Clear
65,Dawn,Clear
60,Dusk,Clear
35,Day,Clear
42,Day,Clear
30,Day,Clear
35,Day,Clear
40,Dusk,Cloudy
40,Day,Clear
35,Day,Clear
40,Day,Clear
40,Day,Clear
40,Day,Clear
50,Day,Clear
20,Day,Clear
25,Dark,Clear
32,Dusk,Snow
40,Day,Cloudy
40,Dark,Cloudy
40,Dark,Cloudy
40,Day,Clear
45,Dark,Cloudy
47,Dark,Cloudy
45,Day,Clear
47,Dark,Cloudy
40,Dark,Cloudy
45,Dusk,Rain
48,Day,Cloudy
10,Day,Snow
20,Dusk,Clear
35,Dark,Clear
32,Day,Clear
30,Day,Cloudy
35,Dark,Clear
-2,Day,Cloudy
5,Dark,Clear
4,Dark,Clear
19,Day,Clear
6,Dark,Cloudy
40,Day,Cloudy
30,Day,Cloudy
30,Dark,Snow
32,Dark,Clear
40,Day,Cloudy
21,Dawn,Clear
45,Dark,Clear
50,Dark,Clear
41,Day,Clear
55,Dark,Clear
54,Dark,Clear
50,Dark,Clear
42,Dark,Clear
40,Dark,Clear
50,Dusk,Clear
55,Day,Clear
30,Day,Clear
45,Dark,Clear
65,Day,Clear
50,Day,Cloudy
60,Day,Fog
56,Dark,Clear
65,Day,Cloudy
30,Day,Clear
35,Dark,Clear
48,Dark,Cloudy
56,Dark,Fog
60,Day,Clear
44,Dark,Clear
49,Dark,Clear
10,Day,Clear
28,Day,Clear
55,Day,Cloudy
30,Day,Clear
10,Day,Clear
30,Dark,Cloudy
12,Dark,Cloudy
25,Dark,Clear
20,Day,Snow
33,Dusk,Snow
21,Dark,Fog
28,Dark,Snow
18,Dark,Cloudy
38,Dark,Cloudy
32,Dark,Clear
30,Dark,Cloudy
30,Day,Cloudy
42,Dark,Clear
50,Day,Clear
70,Day,Clear
35,Day,Cloudy
35,Day,Cloudy
59,Dark,Cloudy
45,Day,Clear
45,Day,Cloudy
60,Day,Clear
45,Dark,Clear
65,Day,Rain
33,Dark,Clear
30,Day,Clear
30,Dark,Snow
35,Dark,Snow
56,Day,Cloudy
10,Dark,Cloudy
35,Dark,Clear
30,Dark,Clear
32,Dark,Snow
36,Dusk,Rain
35,Dark,Clear
30,Day,Cloudy
4,Day,Cloudy
10,Dark,Cloudy
42,Dark,Cloudy
31,Dark,Rain
25,Dark,Clear
28,Dark,Clear
35,Day,Cloudy
42,Day,Clear
30,Dark,Clear
30,Dusk,Cloudy
31,Day,Cloudy
35,Day,Snow
29,Dark,Clear
29,Dark,Clear
43,Dark,Cloudy
45,Day,Cloudy
30,Day,Clear
30,Dark,Clear
50,Dark,Rain
55,Day,Clear
34,Day,Cloudy
63,Day,Clear
50,Dark,Clear
50,Dark,Clear
75,Dusk,Clear
68,Day,Clear
60,Dark,Clear
60,Dark,Clear
69,Dark,Clear
15,Dark,Clear
55,Day,Clear
10,Day,Clear
58,Day,Clear
40,Dark,Snow
13,Day,Clear
23,Day,Cloudy
39,Dark,Clear
50,Day,Cloudy
30,Dark,Snow
38,Dark,Sleet
50,Day,Cloudy
35,Day,Clear
38,Dark,Rain
12,Dark,Clear
24,Day,Snow
27,Dark,Cloudy
28,Dark,Cloudy
30,Dark,Cloudy
22,Dark,Clear
42,Day,Rain
40,Dark,Cloudy
20,Dark,Clear
50,Dusk,Cloudy
10,Day,Clear
20,Dark,Clear
26,Day,Clear
35,Day,Clear
25,Dusk,Cloudy
50,Dusk,Clear
40,Day,Clear
40,Day,Clear
40,Dusk,Clear
35,Dawn,Fog
40,Day,Clear
40,Dark,Clear
46,Dark,Clear
50,Dark,Clear
55,Day,Clear
25,Dark,Cloudy
27,Dark,Cloudy
30,Dark,Clear
40,Day,Clear
35,Dark,Clear
25,Day,Clear
52,Day,Cloudy
32,Dark,Clear
40,Day,Cloudy
35,Dark,Clear
35,Dark,Clear
45,Dark,Cloudy
32,Dark,Snow
28,Dark,Snow
20,Day,Snow
31,Dark,Cloudy
34,Day,Snow
30,Dark,Snow
30,Dark,Clear
36,Dark,Rain
40,Dark,Clear
39,Dark,Rain
30,Day,Snow
36,Day,Clear
32,Dark,Cloudy
32,Dark,Clear
36,Dark,Rain
34,Dark,Cloudy
25,Dark,Snow
18,Day,Clear
20,Dark,Clear
40,Day,Clear
40,Day,Clear
30,Day,Clear
25,Dark,Clear
26,Dark,Clear
34,Dark,Snow
38,Day,Clear
29,Dark,Rain
40,Day,Clear
32,Day,Cloudy
21,Dark,Cloudy
39,Day,Clear
48,Day,Cloudy
45,Dark,Rain
35,Dark,Clear
42,Dark,Clear
43,Dark,Cloudy
45,Dusk,Clear
28,Dark,Clear
20,Dark,Cloudy
42,Day,Cloudy
45,Dark,Clear
40,Dark,Rain
35,Dark,Rain
31,Day,Clear
38,Day,Cloudy
40,Day,Cloudy
32,Dusk,Cloudy
33,Dark,Clear
34,Day,Rain
20,Dark,Clear
32,Day,Rain
40,Day,Rain
15,Dark,Clear
30,Day,Snow
20,Day,Clear
72,Day,Clear
36,Day,Rain
26,Day,Snow
10,Dusk,Cloudy
44,Dark,Rain
60,Day,Cloudy
25,Dark,Clear
20,Dusk,Cloudy
12,Dark,Clear
29,Day,Cloudy
30,Day,Clear
29,Dark,Sleet
26,Dark,Clear
28,Day,Clear
30,Day,Clear
34,Day,Clear
4,Day,Clear
14,Day,Clear
30,Dark,Clear
30,Day,Clear
35,Dark,Clear
10,Dark,Clear
10,Day,Cloudy
15,Dark,Cloudy
32,Day,Cloudy
30,Day,Cloudy
17,Day,Clear
30,Dark,Fog
27,Day,Clear
33,Day,Clear
-2,Dusk,Snow
16,Day,Clear
20,Dark,Cloudy
37,Day,Clear
35,Day,Clear
28,Dark,Snow
30,Day,Cloudy
5,Dark,Clear
40,Dark,Clear
50,Day,Clear
40,Dusk,Clear
50,Dark,Clear
34,Dark,Clear
60,Dark,Clear
45,Day,Clear
65,Day,Clear
60,Day,Rain
45,Day,Cloudy
50,Day,Clear
50,Dusk,Clear
60,Day,Clear
20,Day,Snow
30,Day,Clear
24,Dark,Cloudy
30,Day,Cloudy
29,Day,Clear
40,Dark,Clear
30,Dark,Snow
31,Dark,Clear
32,Day,Clear
-2,Dark,Clear
30,Dawn,Clear
28,Day,Cloudy
33,Day,Cloudy
24,Day,Snow
40,Day,Clear
47,Dark,Cloudy
17,Day,Cloudy
12,Day,Clear
100,Day,Clear
24,Dark,Clear
55,Dark,Clear
72,Day,Clear
63,Day,Cloudy
55,Day,Clear
35,Dark,Clear
20,Day,Clear
29,Dark,Cloudy
50,Dark,Clear
50,Dark,Cloudy
38,Dark,Rain
-5,Dusk,Cloudy
16,Dark,Clear
13,Dark,Snow
38,Day,Clear
34,Day,Clear
25,Day,Clear
20,Dawn,Clear
42,Dusk,Snow
35,Dark,Cloudy
23,Dark,Cloudy
29,Dark,Clear
36,Dark,Cloudy
40,Dark,Clear
25,Day,Clear
47,Dark,Fog
20,Day,Cloudy
30,Day,Cloudy
50,Dark,Clear
45,Dark,Cloudy
65,Day,Clear
32,Dark,Clear
50,Day,Clear
26,Day,Cloudy
25,Dawn,Snow
30,Dark,Cloudy
35,Dark,Cloudy
30,Dark,Cloudy
35,Day,Snow
20,Dark,Clear
30,Day,Cloudy
26,Day,Cloudy
28,Dark,Snow
30,Day,Clear
46,Dusk,Clear
10,Dark,Cloudy
10,Dark,Clear
18,Dark,Cloudy
25,Day,Clear
18,Dark,Clear
30,Day,Clear
30,Day,Clear
23,Dark,Cloudy
27,Day,Snow
36,Day,Cloudy
35,Dark,Clear
30,Dark,Clear
36,Dark,Rain
28,Dark,Cloudy
37,Dark,Clear
20,Dark,Cloudy
34,Day,Cloudy
31,Dark,Cloudy
32,Dark,Cloudy
34,Dark,Clear
29,Dark,Cloudy
25,Day,Clear
30,Day,Cloudy
25,Dark,Clear
33,Dark,Rain
8,Dark,Clear
25,Dark,Clear
10,Dark,Clear
12,Dark,Clear
20,Dark,Snow
54,Dark,Clear
66,Dark,Cloudy
42,Dark,Cloudy
55,Day,Clear
65,Day,Clear
55,Dark,Rain
60,Dark,Clear
45,Day,Rain
65,Day,Clear
60,Day,Clear
70,Day,Clear
40,Dark,Clear
45,Dark,Cloudy
29,Dark,Clear
30,Dark,Sleet
30,Day,Clear
19,Day,Clear
20,Dark,Clear
26,Dark,Cloudy
38,Dark,Clear
35,Dark,Rain
42,Day,Rain
42,Day,Clear
40,Dark,Clear
29,Dark,Clear
43,Dark,Clear
18,Day,Clear
40,Dark,Clear
50,Dark,Clear
50,Dusk,Rain
52,Day,Clear
44,Dark,Rain
40,Dark,Cloudy
55,Dark,Clear
60,Day,Clear
50,Dark,Clear
32,Day,Clear
34,Day,Clear
55,Dark,Cloudy
36,Dark,Cloudy
68,Day,Clear
45,Dark,Cloudy
64,Dark,Clear
60,Dark,Clear
45,Day,Clear
60,Day,Clear
58,Day,Cloudy
50,Dark,Clear
65,Dark,Clear
40,Dark,Rain
45,Day,Cloudy
30,Dark,Clear
36,Day,Cloudy
34,Dark,Rain
34,Dark,Sleet
42,Day,Clear
40,Dark,Cloudy
10,Day,Fog
5,Dark,Clear
0,Day,Clear
10,Dark,Cloudy
34,Day,Clear
26,Dark,Clear
30,Dark,Cloudy
28,Dark,Clear
30,Dark,Clear
44,Dark,Rain
37,Dusk,Cloudy
50,Day,Cloudy
20,Dark,Snow
40,Dark,Clear
70,Day,Clear
60,Dark,Clear
40,Day,Cloudy
50,Day,Cloudy
25,Day,Clear
20,Dawn,Clear
60,Day,Clear
50,Dark,Cloudy
48,Dark,Cloudy
50,Dark,Clear
55,Day,Clear
20,Day,Clear
68,Day,Rain
25,Day,Clear
75,Dark,Clear
79,Day,Clear
25,Dawn,Clear
31,Dark,Clear
71,Dusk,Rain
68,Dawn,Rain
64,Day,Clear
31,Dark,Clear
35,Dusk,Clear
43,Dark,Clear
37,Dark,Clear
61,Day,Rain
60,Dusk,Cloudy
25,Dark,Clear
48,Dark,Cloudy
48,Dawn,Clear
75,Dark,Clear
76,Day,Cloudy
80,Day,Clear
18,Dark,Clear
40,Day,Clear
73,Day,Clear
73,Day,Clear
45,Day,Rain
32,Day,Rain
38,Dark,Clear
35,Day,Rain
25,Dark,Snow
25,Day,Rain
40,Dark,Rain
50,Day,Clear
30,Dark,Clear
45,Dark,Rain
40,Dark,Clear
35,Day,Clear
55,Day,Clear
60,Day,Clear
40,Day,Clear
45,Day,Clear
35,Day,Cloudy
45,Dark,Clear
45,Dark,Clear
37,Day,Clear
50,Day,Clear
45,Dark,Rain
42,Dark,Clear
45,Day,Clear
40,Day,Clear
20,Day,Clear
12,Dark,Clear
33,Day,Snow
30,Dusk,Cloudy
60,Day,Clear
65,Day,Clear
22,Dark,Clear
42,Dark,Clear
45,Dark,Clear
55,Day,Clear
45,Day,Cloudy
50,Day,Clear
34,Dawn,Clear
40,Dark,Clear
51,Dusk,Clear
50,Day,Clear
55,Day,Cloudy
23,Day,Cloudy
32,Dark,Clear
40,Dark,Cloudy
6,Day,Clear
22,Dark,Cloudy
35,Day,Clear
44,Dusk,Clear
35,Day,Rain
60,Day,Cloudy
25,Day,Cloudy
33,Dark,Cloudy
35,Dark,Clear
40,Dark,Cloudy
40,Dusk,Cloudy
15,Day,Clear
5,Dark,Cloudy
62,Dark,Fog
65,Day,Clear
40,Dark,Clear
62,Dark,Clear
65,Day,Cloudy
41,Dark,Clear
78,Day,Clear
68,Dark,Clear
30,Day,Clear
52,Day,Clear
70,Day,Clear
72,Dark,Clear
70,Day,Clear
65,Dark,Clear
65,Dark,Clear
35,Day,Clear
42,Dark,Clear
70,Dark,Clear
25,Dark,Clear
39,Day,Clear
55,Day,Clear
40,Day,Fog
20,Day,Clear
28,Dark,Clear
15,Dark,Clear
12,Dark,Clear
30,Day,Clear
34,Day,Clear
40,Day,Clear
30,Dark,Cloudy
36,Dark,Clear
32,Day,Snow
20,Day,Clear
35,Day,Rain
15,Dark,Cloudy
15,Dark,Cloudy
35,Day,Cloudy
30,Day,Clear
31,Day,Snow
38,Day,Clear
32,Day,Cloudy
20,Dark,Clear
65,Day,Clear
34,Day,Clear
35,Dark,Clear
50,Dark,Fog
37,Dark,Cloudy
27,Dark,Rain
40,Day,Rain
40,Dark,Clear
52,Day,Clear
50,Day,Clear
18,Day,Clear
45,Day,Clear
35,Dark,Cloudy
50,Dark,Rain
40,Dark,Cloudy
40,Dark,Clear
40,Dark,Cloudy
42,Dark,Clear
30,Dark,NA
25,Day,Clear
25,Dark,Cloudy
40,Day,Clear
28,Dark,Cloudy
48,Day,Cloudy
29,Day,Snow
20,Day,Clear
30,Day,Clear
40,Day,Clear
38,Dark,Cloudy
29,Day,Clear
20,Dark,Clear
10,Dark,Clear
9,Dark,Cloudy
-3,Dark,Clear
15,Day,Clear
41,Dark,Cloudy
20,Day,Clear
16,Day,Clear
30,Dark,Cloudy
30,Dark,Cloudy
20,Dark,Clear
10,Dark,Clear
30,Day,Cloudy
30,Day,Cloudy
13,Day,Clear
40,Dark,Rain
38,Dark,Cloudy
20,Dark,Clear
33,Day,Cloudy
30,Dark,Clear
58,Day,Clear
50,Day,Cloudy
35,Dark,Rain
31,Day,Snow
39,Dark,Clear
45,Day,Clear
34,Dark,Clear
50,Dark,Clear
36,Dark,Clear
45,Dark,Cloudy
55,Day,Cloudy
56,Day,Clear
65,Dark,Fog
80,Dusk,Clear
62,Dark,Clear
50,Day,Clear
65,Day,Clear
54,Dark,Clear
42,Dark,Clear
65,Day,Clear
52,Dark,Clear
45,Dark,Cloudy
50,Day,Clear
60,Day,Rain
35,Dark,Clear
50,Dark,Fog
45,Dark,Clear
40,Dark,Cloudy
60,Day,Rain
65,Day,Clear
75,Day,Clear
45,Dark,Clear
60,Dark,Clear
68,Dark,Clear
68,Dark,Clear
68,Dark,Clear
61,Dark,Clear
68,Dusk,Clear
37,Day,Cloudy
35,Dark,Clear
25,Dark,Snow
55,Dark,Cloudy
45,Dark,Cloudy
40,Dusk,Cloudy
45,Dark,Cloudy
46,Dark,Clear
40,Day,Clear
60,Day,Clear
58,Dusk,Clear
50,Dark,Cloudy
65,Dark,Cloudy
68,Day,Clear
80,Day,Clear
55,Dark,Clear
64,Dark,Rain
64,Day,Clear
70,Day,Clear
55,Dark,Clear
72,Day,Clear
65,Dark,Fog
40,Day,Clear
55,Day,Cloudy
20,Dark,Cloudy
28,Dark,Cloudy
60,Day,Clear
60,Day,Clear
40,Dark,Clear
68,Day,Clear
69,Dark,Clear
72,Dark,Rain
52,Dark,Clear
70,Day,Clear
70,Dark,Rain
65,Dark,Rain
33,Dark,Clear
31,Day,Rain
30,Day,Cloudy
38,Dark,Rain
33,Dark,Rain
55,Dark,Clear
45,Day,Cloudy
40,Dusk,Rain
24,Dark,Clear
0,Day,Clear
38,Dark,Clear
-4,Day,Clear
30,Day,Clear
-1,Dark,Clear
10,Dark,Clear
20,Day,Snow
32,Day,Clear
15,Dark,Clear
6,Dark,Clear
19,Dark,Clear
15,Dark,Clear
5,Dark,Clear
20,Dusk,Cloudy
34,Dark,Clear
20,Day,Clear
30,Dark,Clear
28,Day,Clear
60,Dark,Clear
70,Day,Clear
